box_sku_code,box_sku_name,bag_sku_code,bag_sku_name,bags_per_box,notes
POIGN78,BB QUICK COMMERCE BAG BIG,POIGN78,BB QUICK COMMERCE BAG BIG,1.0,nan
POIGN77,BB QUICK COMMERCE BAG SMALL,POIGN77,BB QUICK COMMERCE BAG SMALL,1.0,nan
MWBWPCK.0005.B0_N,BB medium (Gummies) Box,MWLJPCK.0004.B0_N,Gummies box bags (9*12+2),1.0,Same bag is used for multiple type of boxes
MWBWPCK.0001.B0_N,BW Cake Box,MWBWPCK.0003.B0_N,BW White cake box bag,1.0,Same bag is used for multiple type of boxes
MWBWPCK.0006.B0_N,BW Kit Box,MWMMPCK.0006.AAAA.B0_N,MM Essential Kit Box Bags,1.0,nan
MWBWPCK.0007.B0_N,BW Mobile 2.0(Bodywash box),MWBWPCK.0004.B0_N,BW White mobile box bags,1.0,Same bag is used for multiple type of boxes
MWBWPCK.0002.B0_N,BW Mobile BoX,MWBWPCK.0004.B0_N,BW White mobile box bags,1.0,Same bag is used for multiple type of boxes
MWLJPCK.0001.B0_N,LJ Cake Box,MWBWPCK.0003.B0_N,BW White cake box bag,1.0,Same bag is used for multiple type of boxes
MWLJPCK.0006.B0_N,LJ KIT BOX,MWMMPCK.0006.AAAA.B0_N,MM Essential Kit Box Bags,1.0,nan
MWLJPCK.0005.B0_N,LJ New Gummies 30's BOX,MWMMPCK.0007.AAAA.B0_N,MM Sexual Box Bags,1.0,Same bag is used for multiple type of boxes
POIGN76,LJ QUICK COMMERCE BAG BIG,POIGN76,LJ QUICK COMMERCE BAG BIG,1.0,nan
POIGN75,LJ QUICK COMMERCE BAG SMALL,POIGN75,LJ QUICK COMMERCE BAG SMALL,1.0,nan
MWLJPCK.0002.B0_N,LJ medium (gummies) box,MWLJPCK.0004.B0_N,Gummies box bags (9*12+2),1.0,Same bag is used for multiple type of boxes
MWMMPCK.0002.AAAA.B0_N,MM Cake Box,MWMMPCK.0005.AAAA.B0_N,MM Cake Box Bags (Printed),1.0,nan
MWMMPCK.0001.AAAA.B0_N,MM Kit Box,MWMMPCK.0006.AAAA.B0_N,MM Essential Kit Box Bags,1.0,nan
MWMMPCK.0003.AAAA.B0_N,MM Mobile Box,MWMMPCK.0008.AAAA.B0_N,MM Mobile Box Bags (Printed),1.0,nan
POIGN74,MM QUICK COMMERCE BAG BIG,POIGN74,MM QUICK COMMERCE BAG BIG,1.0,nan
POIGN73,MM QUICK COMMERCE BAG SMALL,POIGN73,MM QUICK COMMERCE BAG SMALL,1.0,nan
MWMMPCK.0004.AAAA.B0_N,MM Sexual wellness Box,MWMMPCK.0007.AAAA.B0_N,MM Sexual Box Bags,1.0,Same bag is used for multiple type of boxes
MWMMPCK.0009.AAAA.B0_N,MM medium (Gummies) Box,MWLJPCK.0004.B0_N,Gummies box bags (9*12+2),1.0,Same bag is used for multiple type of boxes
OWNAPP.0002,OuterBox Pack of 1,OWNAPP.00011,Shipper Bag,1.0,nan
OWNAPP.0003,OuterBox Pack of 2,OWNAPP.00011,Shipper Bag,1.0,nan
MWLJPCK.0008.B0_N,White Bulk Box Medium,MWBWPCK.0004.B0_N,BW White mobile box bags,1.0,Same bag is used for multiple type of boxes
MWMMPCK.0010.AAAA.B0_N,White bulk box,MWBWPCK.0003.B0_N,BW White cake box bag,1.0,Same bag is used for multiple type of boxes
